#,Name,Price,24H CHANGE,24H VOLUME,Market Cap
1,Bitcoin,"$16,677.62",+0.35%,$19.66 B,$318.03 B
2,Ethereum,"$1,231.43",+0.60%,$4.26 B,$148.92 B
3,Tether,$1.02,-0.02%,$26.92 B,$65.32 B
4,BNB,$315.57,-0.75%,$764.5 M,$49.75 B
5,USD Coin,$1.00,+0.01%,$2.32 B,$44.21 B
6,Binance USD,$1.00,+0.01%,$4.61 B,$22.41 B
7,XRP,$0.4074,+0.04%,$624.17 M,$20.19 B
8,Dogecoin,$0.106,+14.14%,$1.75 B,$13.79 B
9,Cardano,$0.323,+1.01%,$157.14 M,$10.96 B
10,Polygon,$0.8725,+1.19%,$179.37 M,$7.51 B
11,Polkadot,$5.48,+1.00%,$111.55 M,$6.16 B
12,Dai,$1.01,-0.01%,$148.04 M,$5.72 B
13,Litecoin,$77.73,+0.92%,$603.72 M,$5.48 B
14,Wrapped TRON,$0.05382,+1.97%,"$537,215",$5.47 B
15,Solana,$15.00,+1.19%,$222.51 M,$5.2 B
16,Shiba Inu,$0.00000959,+2.88%,$187.13 M,$5.16 B
17,TRON,$0.05383,+1.86%,$187.34 M,$4.96 B
18,HEX,$0.02697,+0.24%,$2.39 M,$4.68 B
19,Uniswap,$5.66,+1.69%,$52.01 M,$4.23 B
20,Lido stETH,"$1,189.98",+0.12%,"$281,949",$4.15 B
21,UNUS SED LEO,$4.18,+3.99%,$3.24 M,$3.99 B
22,Avalanche,$13.39,+2.86%,$114.79 M,$3.96 B
23,Wrapped Bitcoin,"$16,709.86",+0.49%,$134.25 M,$3.6 B
24,Chainlink,$7.19,-1.29%,$240.43 M,$3.6 B
25,Cosmos,$10.40,-0.32%,$63.38 M,$2.92 B
26,Ethereum Classic,$20.59,+0.62%,$138.81 M,$2.77 B
27,Monero,$137.22,+0.90%,$70.25 M,$2.5 B
28,Stellar,$0.09309,+3.37%,$65.03 M,$2.35 B
29,Bitcoin Cash,$114.90,+0.57%,$152.48 M,$2.17 B
30,Toncoin,$1.72,+0.34%,$3.63 M,$2.1 B
31,Algorand,$0.2492,+2.04%,$50.27 M,$1.74 B
32,Cronos,$0.06563,+0.12%,$12.79 M,$1.63 B
33,Quant,$123.93,-0.71%,$24.06 M,$1.46 B
34,Filecoin,$4.53,+3.63%,$107.83 M,$1.46 B
35,ApeCoin,$3.95,+8.07%,$228.78 M,$1.41 B
36,VeChain,$0.01991,+1.52%,$26.88 M,$1.4 B
37,NEAR Protocol,$1.67,+1.43%,$70.11 M,$1.37 B
38,OKB,$21.15,+0.52%,$12.82 M,$1.27 B
39,Flow,$1.17,+2.85%,$19.52 M,$1.19 B
40,Frax,$0.9984,+0.86%,$3 M,$1.18 B
41,Hedera,$0.05315,+0.39%,$9.42 M,$1.16 B
42,Internet Computer,$4.12,+3.42%,$21.17 M,$1.11 B
43,Huobi Token,$7.06,-1.91%,$22.72 M,$1.08 B
44,Chiliz,$0.1765,+0.50%,$146.92 M,$1.07 B
45,Elrond,$44.24,-0.51%,$16.58 M,$1.04 B
46,EOS,$0.9603,+2.03%,$100.56 M,$1.02 B
47,Luna Classic,$0.0001835,+1.65%,$91.01 M,$981.36 M
48,Theta Network,$0.9664,+5.86%,$22.03 M,$966.44 M
49,Pax Dollar,$0.9997,-0.02%,$1.39 M,$945.34 M
50,Wrapped BNB,$311.65,-0.47%,$74.95 M,$944.69 M
